"c";"k";"activation";"batch_size";"units";"epochs";"rmse"
8;3;"softmax";7;16;5;0,144957527035515
8;3;"softmax";7;16;10;0,133684884140793
8;3;"softmax";7;32;1;0,141081802871603
8;3;"softmax";7;32;5;0,145859283014792
8;3;"softmax";7;32;10;0,135997087161507
8;3;"softmax";7;64;1;0,139053053410991
8;3;"softmax";7;64;5;0,145446812637769
8;3;"softmax";7;64;10;0,144120009723731
8;3;"softmax";30;1;1;0,909467489083401
8;3;"softmax";30;1;5;1,46060818230436
8;3;"softmax";30;1;10;0,141465226570777
8;3;"softmax";30;8;1;0,224194957617492
8;3;"softmax";30;8;5;0,141161505568085
8;3;"softmax";30;8;10;0,139437453631585
8;3;"softmax";30;16;1;0,195870979682811
8;3;"softmax";30;16;5;0,138997935889679
8;3;"softmax";30;16;10;0,141359534539439
8;3;"softmax";30;32;1;0,258417501334511
8;3;"softmax";30;32;5;0,140311591180949
8;3;"softmax";30;32;10;0,141498139482869
8;3;"softmax";30;64;1;0,205299080784282
8;3;"softmax";30;64;5;0,138577727946717
8;3;"softmax";30;64;10;0,141355197418886
8;3;"relu";1;1;1;0,149392706842479
8;3;"relu";1;1;5;0,149652319412695
8;3;"relu";1;1;10;0,149652472134513
8;3;"relu";1;8;1;0,134078627257001
8;3;"relu";1;8;5;0,133636183511436
8;3;"relu";1;8;10;0,126349320440285
8;3;"relu";1;16;1;0,165925565251391
8;3;"relu";1;16;5;0,13552429741185
8;3;"relu";1;16;10;0,133261964022069
8;3;"relu";1;32;1;0,142058601765172
8;3;"relu";1;32;5;0,141770912595287
8;3;"relu";1;32;10;0,134222397926882
8;3;"relu";1;64;1;0,150314809967932
8;3;"relu";1;64;5;0,138382461963211
8;3;"relu";1;64;10;0,12768816399442
8;3;"relu";7;1;1;0,156345108551842
8;3;"relu";7;1;5;0,141729196267898
8;3;"relu";7;1;10;0,142384668588575
8;3;"relu";7;8;1;0,120939038076425
8;3;"relu";7;8;5;0,104127369051703
8;3;"relu";7;8;10;0,102816407377441
8;3;"relu";7;16;1;0,112054704239738
8;3;"relu";7;16;5;0,102329223377777
8;3;"relu";7;16;10;0,103468257827745
8;3;"relu";7;32;1;0,112396935881909
8;3;"relu";7;32;5;0,10454327370732
8;3;"relu";7;32;10;0,10257875066289
8;3;"relu";7;64;1;0,126469209396787
8;3;"relu";7;64;5;0,10389954898167
8;3;"relu";7;64;10;0,102680350419335
8;3;"relu";30;1;1;0,257674090680453
8;3;"relu";30;1;5;0,147860731533383
8;3;"relu";30;1;10;0,138095391663179
8;3;"relu";30;8;1;0,198296833997787
8;3;"relu";30;8;5;0,136966469988295
8;3;"relu";30;8;10;0,110521161066986
8;3;"relu";30;16;1;0,132685627721853
8;3;"relu";30;16;5;0,106487361822892
8;3;"relu";30;16;10;0,10995231257005
8;3;"relu";30;32;1;0,1286796512635
8;3;"relu";30;32;5;0,105989008610409
8;3;"relu";30;32;10;0,108972143180136
8;3;"relu";30;64;1;0,115718146601512
8;3;"relu";30;64;5;0,107763793482782
8;3;"relu";30;64;10;0,105142869675515
8;3;"tanh";1;1;1;0,170684282800133
8;3;"tanh";1;1;5;0,126931147967773
8;3;"tanh";1;1;10;0,110920607601122
8;3;"tanh";1;8;1;0,157604126682822
8;3;"tanh";1;8;5;0,148300023877362
8;3;"tanh";1;8;10;0,137665800147384
8;3;"tanh";1;16;1;0,177455765335159
8;3;"tanh";1;16;5;0,154520338437442
8;3;"tanh";1;16;10;0,143819141168793
8;3;"tanh";1;32;1;0,173405170739844
8;3;"tanh";1;32;5;0,160223673159506
