"c";"k";"o";"batch_size";"units";"epochs";"rmse"
8;3;3;30;16;10;0,136642720856823
8;3;3;30;32;1;0,144520997200218
8;3;3;30;32;5;0,129419391929743
8;3;3;30;32;10;0,139520173300177
8;3;5;1;1;1;0,166774206924669
8;3;5;1;1;5;0,165943441108811
8;3;5;1;1;10;0,149889596336193
8;3;5;1;8;1;0,235447425825049
8;3;5;1;8;5;0,177782911904633
8;3;5;1;8;10;0,169814765731232
8;3;5;1;16;1;0,285227427935866
8;3;5;1;16;5;0,306116434901202
8;3;5;1;16;10;0,191615385955445
8;3;5;1;32;1;0,32438446028759
8;3;5;1;32;5;0,399677901484929
8;3;5;1;32;10;0,278916336350919
8;3;5;7;1;1;0,144376523689404
8;3;5;7;1;5;0,149170854052773
8;3;5;7;1;10;0,128179098719319
8;3;5;7;8;1;0,166202684293837
8;3;5;7;8;5;0,137626903424545
8;3;5;7;8;10;0,12591354621936
8;3;5;7;16;1;0,209237646683214
8;3;5;7;16;5;0,161739486388288
8;3;5;7;16;10;0,144369168930816
8;3;5;7;32;1;0,257527397884016
8;3;5;7;32;5;0,161122907691822
8;3;5;7;32;10;0,153535074066194
8;3;5;30;1;1;0,232108333448322
8;3;5;30;1;5;0,142409454636836
8;3;5;30;1;10;0,141980837400194
8;3;5;30;8;1;0,145833338491428
8;3;5;30;8;5;0,145351686699033
8;3;5;30;8;10;0,138133064612807
8;3;5;30;16;1;0,145927206771198
8;3;5;30;16;5;0,135598082734621
8;3;5;30;16;10;0,133189220446735
8;3;5;30;32;1;0,144179945442066
8;3;5;30;32;5;0,132871460125386
8;3;5;30;32;10;0,143468213336895
